

 ********* STATS AS OF 10/03/2024***********

 **** IPL Stats - most runs (minm 500 runs) ****

              Player Name         Runs in IPL   Matches   Innings    Strike Rate     Sixes     Fours   Average  Highest score   Fifties   IPL-Hundreds  Profile-ID
           Praveen Kumar           90           119       119           3/18           7.73             28.04         592
                RP Singh           90            82        82           4/22            7.9             19.72         434
            Pragyan Ojha           89            92        90           3/11           7.37             21.34        1356
           Kuldeep Yadav           87            84        82           4/14           8.21             20.07        8292
         Dhawal Kulkarni           86            92        92           4/14           8.31             20.78        1451
            Albie Morkel           85            91        87           4/32           8.21             20.27         484
      Varun Chakravarthy           83            70        70           5/20           7.56             19.13       12926
             Imran Tahir           82            59        59           4/12           7.76             16.05        6667
            Irfan Pathan           80           103       101           3/24      7.7799997             25.54          73
            Morne Morkel           77            70        70           4/20           7.69             21.16         608
           Deepak Chahar           77            81        81           4/13           7.98             21.68        7836
           Krunal Pandya           76           127       117           3/11           7.37             27.92       11311
             Karn Sharma           76            84        82           4/16           8.38             19.67        1844
     Lakshmipathy Balaji           76            73        73           5/24           8.05             19.91          96
          Arshdeep Singh           76            65        65           5/32           9.03             17.95       13217
            Rahul Chahar           75            78        77           4/27      7.7200003             22.19       12087
              Avesh Khan           74            62        62           4/24           8.87             18.04        9781
             Munaf Patel           74            63        63           5/21           7.52             18.31         522
           Khaleel Ahmed           74            57        57           3/21           8.84             17.24       10952
            Rajat Bhatia           71            95        91           4/15           7.41             23.04        1468
    Mitchell McClenaghan           71            56        56           4/21           8.49             17.94        7624
          Kieron Pollard           69           189       107           4/44           8.79             21.57         657
             Ashok Dinda           69            78        75           4/18            8.2             21.97        1467
             T Natarajan           67            61        61           4/19           8.84             19.96       10225
          Jacques Kallis           65            98        89           3/13            7.9              26.8         213
       Siddharth Trivedi           65            76        75           4/25           7.59             23.17        1594
           Hardik Pandya           64           137        93           3/17            9.1             22.16        9647
          Shakib Al Hasan          63            71        70           3/17           7.44             23.56         544
             Pat Cummins           63            58        58           4/34           8.75             20.94        8095
    Muttiah Muralitharan           63            66        66           3/11           6.68             24.19         110
        Mitchell Johnson           61            54        54           3/26           8.29              20.2         496
       Mustafizur Rahman           61            57        57           4/29           8.14             21.28        9863
           Anrich Nortje           60            46        46           3/33           8.96             17.57       11427
          James Faulkner           59            60        60           5/16           8.69              20.8        7789
              Sam Curran           58            59        58           4/11           9.65             20.36       10420
             Shane Warne           57            55        54           4/21           7.27             20.95         135
            Jason Holder           53            46        46           4/52           8.81             18.77        8313
           Shreyas Gopal           52            52        51           4/16           8.16             19.06        9746
          Mitchell Starc           51            40        39           4/15           8.21             16.29        7710

