

 ********* STATS AS OF 10/07/2024***********


 **** Highest T20i Batting Average (minm 500 runs) ****
              Player Name     Batting Average   Matches   Innings      Runs   Batting S.R.  Hundreds   Fifties     Fours     Sixes  Profile-ID        Country
            Naseem Khushi               19.68        50        37       669         160.05         0         3        45        49       12243           Oman
            Dasun Shanaka               19.68       102        94      1456         122.46         0         5       107        72        8422      Sri Lanka
         Dinesh Chandimal               19.67        68        61      1062         103.61         0         6        90        22        6245      Sri Lanka
               Khawar Ali               19.56        40        35       626          98.58         0         2        67        15       10467           Oman
          Mushfiqur Rahim               19.23       102        93      1500         114.94         0         6       126        37         394     Bangladesh
       Michael van Lingen               19.19        30        27       518         115.88         0         2        61        13       11136        Namibia
             Kinchit Shah               19.08        49        45       706         106.97         0         3        55        17        9981      Hong Kong
          Chamu Chibhabha               19.06        36        35       667         109.34         0         5        78        13         436       Zimbabwe
               Ayaan Khan               18.97        42        37       607         108.01         0         1        38        18       11033           Oman
              Joshua Rasu               18.85        31        30       509         109.46         0         2        37        16       15554        Vanuatu
         Paul Collingwood               18.81        36        33       583         127.02         0         3        38        24          66        England
            Denesh Ramdin               18.71        71        50       636         115.43         0         1        51        19         399    West Indies
              Alex Obanda               18.53        51        47       797         118.96         1         1       100        25         704          Kenya
          Mohammad Nadeem               18.36        53        37       514         112.72         0         1        32        17       10459           Oman
             Dwayne Smith               18.19        33        32       582         122.27         0         3        62        31         255    West Indies
              Shadab Khan               17.87       104        52       679         139.71         0         1        44        34       11186       Pakistan
               Haider Ali               17.41        35        32       505         124.69         0         3        43        22       15037       Pakistan
           Pieter Seelaar               17.38        75        46       591         111.09         0         1        43        12        1412    Netherlands
         Sharvin Muniandy               17.33        85        70       901         116.26         0         1        65        31       14004       Malaysia
              Daren Sammy               17.26        68        52       587         147.49         0         0        45        31         253    West Indies
             Bikram Arora               17.08        48        43       632          91.33         0         1        54        17       14752          Malta
            Yasim Murtaza               17.06        47        40       614         119.22         0         2        49        25       13554      Hong Kong
               Aizaz Khan               16.55        85        73       960         110.73         0         0        67        27        9975      Hong Kong
         Mitchell Santner               16.46       104        70       675         122.28         0         1        51        23       10100    New Zealand
           Kenneth Waiswa               15.87        70        55       714         105.62         0         1        69        17       17064         Uganda
               Imad Wasim               15.83        75        50       554         130.05         0         1        55        12       10408       Pakistan
